Nombre del Juego,Objetivo del juego,Objetivo Pedagógico,Reglas del Juego,Imagen representativa 
El Autógrafo,Azar,Conocerse,"Consiste en dibujar 9 cuadrantes en una hoja de cuaderno, con un número previamente asignado en la esquina superior derecha. Posteriormente se debe jugar cachipún con distintas personas sin repetir, el perdedor debe anotar su nombre, carrera, pasatiempo y comida favorita en uno de los cuadrantes del ganador. La primera persona en rellenar los 9 cuadrantes será la ganadora. El objetivo del juego es facilitar la interacción y conocer a nuestros compañeros de curso.",
Lotería de nombres,"Azar, Atención",Conocerse,"Este juego es la continuación del “Autógrafo”. Cada persona tiene un respectivo número y cuando este es mencionado, debe presentarse, indicar su nombre, carrera, pasatiempo y comida favorita. Gana la primera persona en llenar los nueve cuadrantes de su hoja. El objetivo es conocerse.",
Cuantas bajan?,Descubrir la regla del juego,Atención,"Para empezar el juego, una persona tiene que aplaudir o replicar el sonido de un rebaño caminando. Posteriormente se debe preguntar por el número de ovejas y la respuesta correcta depende del número de palabras que se utilicen en la pregunta. Por ejemplo: “¿Cuántas bajan?” la respuesta es 2, y “¿Cuántas ovejas bajan?” es 3. El objetivo del juego es descubrir la forma de ganar  y responder correctamente a la pregunta.
",
Cachipun gigante,Coordinación y estrategia,Liderazgo e interacción,"Dos grandes grupos de personas deben jugar entre sí una versión del cachipún en donde tienen de 10 a 5 segundos para ponerse de acuerdo y escoger todos la misma opción. La tijera se hace imitando el movimiento de tijera con las manos, el papel alzando los brazos, y la piedra, agachándose. Si un miembro del equipo escoge algo distinto, todo el equipo pierde la ronda automáticamente. El primer equipo en obtener 5 victorias gana. El objetivo del juego es coordinarse con grupos grandes de personas.
",
Cachipun cazador,"Mímica, coordinación, estrategia",Liderazgo e interacción,"Similar al cachipún gigante, los dos equipos deben ponerse de acuerdo entre todos para, en lugar de piedra, papel y tijera; escoger cazador, león o escopeta, donde el león vence al cazador, el cazador a la escopeta, y la escopeta al león. Si un miembro del equipo escoge algo distinto, todo el equipo pierde la ronda automáticamente. El primer equipo en obtener 5 victorias gana. El objetivo del juego es coordinarse con grupos grandes de personas.",
Cachipun suma,"Velocidad de pensamiento, estrategia, azar",Conocerse,"aesta variante del cachipún, en lugar de utilizar piedra, papel y tijera utiliza de cero a cinco dedos de la mano. Ambos jugadores deben decir ""cachi-"" seguido de un número del 0 al 10, si el número coincide de un jugador coincide con la suma de dedos entre ambos jugadores, gana la ronda.",
Piti piti,Descubrir la regla del juego,Atención,"La primera persona hace un gesto tocandose los dedos de la mano y diciendo ""piti piti piti piti piii, piti piii, piti piti piti pi"". Luego le pide a otro jugador que lo imite, y le dice si está correcto o no. La regla secreta es que debe imitar también el gesto que hace justo después de terminar la canción.",
La Ameba (evolución),"Azar, mímica",Conocerse,"Todos los jugadores parten como amebas y deben actuar como amebas, si le ganan en cachipún a otra ameba evolucionan. El orden de las evoluciones es ameba, cangrejo, conejo, gorila, humano y avenger. Un jugador sólo puede retar a otro jugador que esté igual de evolucionado. Si un jugador pierde una ronda, vuelve inmediatamente a jugar como ameba, independiente de en cuál estado se encontraba. Ganan los jugadores que alcanzan la etapa de avenger una vez acabo el tiempo.",
Ata2,"Ingenio, trabajo en equipo, comunicación",Resolución de problemas,Dos jugadores deben atarse dos cuerdas en cada muñeca de manera cruzada para lograr escapar sin desatar los nudos.,
Juan José Bonilla,"Coordinación, memoria","Atención, estrategia","Una canción que dice ""Juan José Bonilla se sentó en la hornilla y empezó a gritar 'mamá mamá, qué caliente está'"". Una vez se ha aprendido la letra, hay que sentarse y levantarse cada vez que la canción diga ""mamá"".",
Pan para pan,"Coordinación, atención",Atención,"Cuando el director del juego levanta el puño, los jugadores deben decir ""pan"" y si levanta la mano con las palmas abiertas deben decir ""para pan"".",
"1,2,3","Memoria, coordinación","Socialización, creatividad","En parejas se deben, deben mirarse a los ojos y contar alternadamente del 1 hasta el 3, cuando se llega al 3, hay que volver a partir con el 1. El ganador es aquel que logre seguir adecuadamente la secuencia sin equivocarse. Cada ronda, uno de los números debe sustituirse permanentemente con una acción. En la segunda ronda, el 1 se sustituye por un aplauso; en la tercera, el 3 se cambia por un aplauso; y en la última, el 2 se cambia por una acción a libre elección. Los objetivos del juego son  la interacción, la comunicación y la coordinación.
",
El Saludo,"Memoria, creatividad","Socialización, creatividad","Los jugadores deben distribuirse por el espacio, si el director dice un número, se deben formar grupos con ese número de personas y entre todos deben presentarse e inventar un saludo de 3 movimientos. Si se repite un número, los jugadores deben ubicarse con el mismo grupo con ese número de integrantes.",
Bitcoin,Calentamiento,"Atención, agilidad, estrategia","Puede jugarse en equipo o todos contra todos. Cada jugador debe colocarse un pañolín a la altura de la rodilla y debe robarle su pañolín a los demás jugadores, si lo logra, puede reclamar un bitcoin y devolverle el pañolín al otro jugador para que pueda reintegrarse. Gana aquel que haya recolectado la mayor cantidad de bitcoins.",
Aplauso del Torero,"Celebrar, mímica",Animación,"El director al mover el pañolín, los jugadores deben hacer un grito distinto según si es que se está moviendo hacia arriba o hacia abajo. Si se suelta el pañolín, todos los jugadores deben gritar y aplaudir hasta que este toque el piso.",
Cuerpo a tierra,Competición de equipos,"Colaboración, comunicación y coordinación","Cuatro equipos deben ubicarse en hilera y traspasar una pelota por detrás hasta llegar al último miembro, una vez que éste la recibe debe exclamar ""cuerpo a tierra"", y en ese momento los demás miembros del equipo deben lanzarse al piso en posición horizontal para que el jugador pueda pasar al frente. El equipo debe repetir esta secuencia hasta haber llegado a la formación inicial. El primer equipo en completar la secuencia será el ganador.",
Lazarillo,Coordinación,Confianza y comunicación,"En parejas, un jugador debe guiar al otro mientras este lleva los ojos vendados utilizando únicamente la voz y sin tocarlo.",
Ordena2,Encontrar cosas en común,Colaboración,"El director del juego debe asignar una consigna (por ejemplo comuna en la que se vive, fecha de nacimiento o número de calzado) y los demás jugadores deben agruparse u ordenarse según la consigna antes de que se acabe el tiempo y con la condición de que no pueden hablarse entre sí. El objetivo del juego es lograr seguir el orden y buscar formas de comunicarse que no sean mediante la voz.",
Rescatando la corona del rey,Calentamiento,Colaborativo,"Entre 5 o 6 jugadores, deben escoger a un rey que debe llevar a un pañolín a la altura de la rodilla y a un ladrón. El rey los demás jugadores, a excepción del ladrón, deben sostenerse de los brazos y rotar mientras evitan que el ladrón les robe el pañolín. Una vez pasada una determinada cantidad de tiempo, se debe vovler a asignar al rey y al ladrón de forma que todos puedan tener estos roles al menos una vez.",
10 pases,Calentamiento,Colaborativo de oposición,"Dos equipo deben pasarse un balón y si logran hacer 10 pases consiguen un punto. Si alguno de los equipos se le cae el balón al piso o si se la devuelven al último que la sostuvo, se reinicia el conteo y se debe pasar el balón al otro equipo. Quien logre conseguir la mayor cantidad de puntos será el ganador.",
Zorro gallina y pollitos,Calentamiento,"Colaboración, comunicación ","Entre 5 o 6 jugadores, se debe escoger a un zorro y una gallina, mientras que el resto son pollitos. Los pollitos y la gallina deben formarse en hilera sosteniéndose de lso hombros, con esta última al frente. El zorro debe intentar robarle un pañolín que debe llevar el último pollito a la altura de la rodilla y la gallina debe intentar proteger al último pollito. Una vez finalizada cada ronda, el último pollito pasa a ser zorro y el zorro pasa a ser gallina para que cada jugador alcance a tener uno de los roles.",
Pinta espejo,Calentamiento,"Mímica, agilidad, velocidad, resistencia","Una variante de la pinta, donde los que pintan se asignan al azar según una característica que tengan todos en común. Si estos llegan a pintar a un jugador, este debe hacer una pose cualquiera. Para poder librarse, otro jugador debe posicionarse al frente e imitar la pose.",
Nudo humano,Ingenio,Colaboración y comunicacion,"Con un mínimo de dos equipos conformado por 8 jugadores cada uno, deben reunirse en círculo y tomarse de las manos con cualquier jugador que no se encuentre adyacente. Posterior a esto, deben lograr desarmar el nudo y sin soltarse de las manos, de forma que cada jugador se encuentre adyacente a los otros dos jugadores con los que está sosteniéndose de las manos. Gana el primer equipo que logre desarmar el nudo.",
pinta mitosis,Calentamiento,colaboración,"una persona inicia pintando. si toca a alguien, juntos de la mano, pintan a otro. cuando llegan a 4, se separan en parejas que continuan paralelmente",
piratas del caribe,coordinacion,"trabajo en equipo, estrategia, comunicación ","todo un grupo se separa en conjuntos de 5 personas. una queda al centro y el resto la rodea con las manos. todos tienen un pañuelo y se deben mover juntos. el objetivo es sacarle los pañuelos entre equipos. sólo la persona del centro (el pirata) puede sacar pañuelos. si un equipo se queda sin pañuelo, se unen al equipo que los dejo sin pañuelos.",
cable electrico,trabajo colaborativo,"planificación, trabajo en equipo, liderazgo, comunicación, respeto",Se ata una cuerda horizontal a una cierta altura (cerca de 1.20m). Todas las personas parten en un lado y tienen que llegar al otro pasando por arriba pero sin tocar la cuerda,
casa inquilino,atencion,reaccion y creacion,"todas las personas se ponen en equipos de 3. dos personas se toman de ambas manos formando una casa y la tercerabse pone al medio. una persona sin casa narra una historia. si menciona casa, todas las casas cambian de inquilino, si dice inquilino, todos los inquilinos buscan una nueva casa, si dice terremoto, las personas deben reorganizarse en diferentes casas e inquilinos. la persona que se queda sin casa debe continuar la historia del narrador enterior",
arram sam sam, Vuelta a la calma, coordinación,"Se canta: ""arram sam sam, arram sam sam, guli guli guli guli guli arram sam sam""X2, luego ""Arabi arabi, guli guli guli guli guli arram sam sam ""x2 con todas las personas formadas en círculo. En una primera vuelta, cada vez que se dice ""arram sam sam"" cada persona toca sus pies, cuando dice ""guli guli"", se toca la cabeza y cuando dice ""arabi"", forma una cruz con sus brazos en su pecho. En la segunda vuelta, cuando se dice ""arram sam sam"" se tocan los tobilos del compañero/a a su derecha, cuando dice ""guli guli"", se toca la cabeza del compañero a la izquierda y cuando se dice ""arabi"", se tocan los hombros del compañero a la derecha la primera vez y del companero a la izquierda la segunda vez.",
Volteando la tortuga,Calentamiento,"Trabajo en equipo, estrategia, atención","Se forman dos equipos. En un campo de juego con lentejas uno de los equipos debe dejarlos volteando hacia arriba; y el otro, volteando hacia abajo. Gana el equipo que tenga la mayor cantidad de lentejas dadas vuelta del lado que les corresponda",
Cachipún alemán y variantes,Competencia,"Comunicación, azar, atención","Dos equipos deben turnarse para mandar un representante que debe recorrer un perímetro hasta la base del otro equipo. Cuando dos de ellos se encuentran, deben jugar al cachipún. La persoan que gane puede continuar el recorrido y quien pierda debe devolverse y el equipo debe mandar a otro representante desde el punto de inicio. Si un miembro completa el recorrido, su equipo obtiene un punto. Este juego tiene 2 variantes, en una de ellas, el que pierda el cachipún debe quedarse en su lugar hasta que otro miembro del equipo salte sobre éste. En la otra variante, cada equipo tiene un vaso con agua y el ganador puede lanzarle el agua al perdedor.",
Hay un hoyo en el fondo de la mar,Juego de memoria y coordinación,Coordinación y mímica,"En un círculo se debe cantar la siguiente canción y hacer sus respectivas mímicas: ""Hay un hoyo en el fondo de la mar *clap clap*"" x2 ""Hay un hoyo, hay un hoyo, hay un hoyo en el fondo de la mar *clap clap*. A medida se repite la canción se van incorporando más cosas al primer verso, quedando al final ""Hay una abeja en la flor en el pañuelo en el clavo en el palo en el hoyo en el fondo de la mar""",
Aplauso del tren,Celebrar,Coordinación y mímica,Consiste en seguir las instrucciones del profe para hacer un aplauso entretenido. Al bajar el brazo se debe aplaudir una vez; al pisar se debe hacer un sonido de vapor (pshhh) y al hacer el gesto de tirar de una palanca se debe hacer un sonido de locomotora (wu wuu). Cada uno de estos gestos se hace en una determinada dirección que tendrá que seguir exclusivamente una de las dos mitades de la sala.,
Toque y fama,"Estrategia, razonamiento matemático",Socialización,"En parejas, se debe adivinar una cifra de una determinada cantidad de dígitos. Un número al estar en la misma posición es fama, si un número está, pero no en el orden correcto es un toque. Los números no se repiten. Gana la primera persona en descubrir la cifra.",
La cajita musical,Descubrir la regla del juego,Atención,"El director del juego debe decir cualquier palabra u objeto que quepa y que no quepa en la cajita musical, mientras el jugador debe preguntar qué cabe y qué no cabe para averiguar la regla. El jugador gana si descubre que la regla es que las palabras deben empezar con ""do"", ""re"", ""mi"", ""fa"", ""sol"", ""la"" y ""si""",
Cine,Descubrir la regla del juego,Atención,"El director del juego debe decir cualquier palabra u objeto que pueda o no entrar al cine, mientras el jugador debe preguntar qué puede y qué no puede entrar para averiguar la regla. El jugador gana si señala que la regla es que puede ingresar cualquier palabra que no contenga la letra ""e"".",
Nadie sabe para quien trabaja,Calentamiento,"atención, estrategia, agilidad","Se tira una pelota al inicio, quien la tome pinta tirando la pelota y que esta toque el suelo. Si es quemada una persona, se sienta. Si la persona quemada logra desde su lugar atrapar una pelota vuelve a jugar. Gana el último en pie.",
Nunca de a tres,Calentamiento,"estrategia, atención","Se organiza de a parejas, una al lado de la otra. Otra va a juagr a la pinta, si llegan a pintar a alguien, se invierten los roles. Si el que no está pintando se ubica al lado de una pareja, el integrante que esté al otro extremo empeiza a pintar, y el que pintaba antes debe escapar.",
Colpbol,Coordinacion,Colaborativo,Se divide a un grupo en dos. Cada equipo tiene que meter goles al arco contrario. Cada persona  de un equipo sólo puede golpear con la palma la pelota una vez consecutiva.,
Amitzy Chami Chami,Atencion,Coordinación,"Se enseño el canto: ""Amitzy Chami Chami, e le petit Tivo tivo /:    - E le petit Tivooo  - Tivo tivo tivo. - - E le petit Tivooo  - Tivo tivo tivo."". En un inicio todos se ponene en circulo y cantan. Luego cantan nuevamente, pero cada vez que dicen ""tivo tivo"", caminan cruzando las piernas en sentido antihorario y horario. Posteriormente, se repite la canción, sólo que todos deben estas con los codo atravesados. Luego de estos, todos deben tomarse las orejas de los compañeros de al lado. Seguido de esto, renuentemente, se canta la canción, pero se deben tomar las rodillas de la persona de al lado derecho. Finalmente, se canta por última vez la canción del mismo modo anterior, sólo que en lugar de tomar las rodillas, se toman los tobillos del compañero.",
Kahoot!,Responder correcta y rápidamente,Repasar para la prueba,"En pantalla, aparecerán preguntas que pueden ser o no sobre la materia del curso. Responder correctamente otorga puntaje, y mientras más rápido se responda, mayor será. Gana la persona que haya acumulado la mayor cantidad de puntos a lo largo de las 25 preguntas.",
Hospital,Calentamiento,"Trabajo en equipo, colaboración, atención","Variante del juego de la pinta. Cuando alguien es pintado, debe echarse al suelo y esperar a ser recogido por una ambulancia de 4 personas hasta uno de los dos extremos de la zona de juego. El objetivo es sobrevivir o lograr pintar a todo el mundo.",
Ferrocarril,Competencia,"Atención, velocidad, agilidad","Se forman dos equipo en donde a cada mimebro se le asigna un número y debe sentarse con las piernas extendidas frente a su contrincante de forma que se forme algo parecido a un ferrocarril. Cuando el profesor diga uno de los números en voz alta, a los que se les fur asignado dicho número deben hacer carrera atravesando desde el medio, por fuera y de nuevo hacia la posición inicial desde adentro. La primera persona en volver le da un punto a su equipo.",
Bomba,Competencia,"Atención, velocidad, agilidad","Una variante del ""Ferrocarril"". En esta, se debe partir desde el miembro de más de adelante y al llegar a su lugar debe sentarse mirando a su compañero y darle la señal para que éste salga. El primer equipo en completar el recorrido con todos sus integrantes será el ganador.",
Protegiendo el castillo,Colaboración,"Estrategia, atención, trabajo en equipo","Una variante del juego ""Naciones"". En este, se añade el rol del escudero, quien puede proteger a su equipo; y adicionalmente se añade una torre  que, en caso de ser derribada de cualquier manera, le otorga la victoria al equipo contrario.",
Aplauso del gaucho,Coordinación,"Cierre, bajar las agitaciones","Un aplauso que utiliza las palmas, las piernas, los talones, un paso hacia adelante y un ""¡Hey!""",
Ratonera,Precisión,Conocer juegos tradicionales chilenos,"Se juega con bolitas y una caja con hoyos, donde cada hoyo tiene un puntaje asignado. Al jugador se le otorgan 4 bolitas y debe tratar de realizar la mayor cantidad de puntos posible.",
Carrera a tres piernas,"Coordinación motora, colaboración, comunicación",Conocer juegos tradicionales chilenos,Dos parejas deben competir en una carrera mientras tienen un cinturón amarrado a las dos piernas que están juntas. Gana la pareja que complete el recorrido en el menor tiempo posible.,
Carrera de zancos,Coordinación motora,Conocer juegos tradicionales chilenos,Dos jugadores deben competir en una carrera mientras llevan unos zancos debajo de los pies. Gana el jugador que logre completar el recorrido en el menor tiempo posible.,
Pesca milagrosa,Motricidad fina,Conocer juegos tradicionales chilenos,"Al jugador se le otorga una caña y con ella debe lograr sacar todas las latas, o peces, de una piscina pequeña.",
Juego de las argollas,Precisión,Conocer juegos tradicionales chilenos,El jugador recibe un determinado número de argollas y su objetivo será el de lograr acertar la mayor cantidad de éstas sobre unas botellas.,
Rayuela,Precisión,Conocer juegos tradicionales chilenos,"Dos jugadores reciben un tejo de metal que deben lanzar hacia un cajón con barro con una lienza en el centro. El jugador que acierte a la lienza, es decir que hace un ""punto quemado""; o el que quede más cerca de ella, ganará la ronda.",
La bala,Precisión,Conocer juegos tradicionales chilenos,"Un jugador recibe una pelota y tiene dos lanzamientos para lograr botar una pirámide de seis o más latas. Si logra botar todas las latas en estos dos lanzamientos, el jugador se lelva un premio.",
Emboque,Precisión,Conocer juegos tradicionales chilenos,"Se juega con un Emboque, que consiste de un cono cóncavo con un hoyo (en este caso la punta de una botella plástica) atado a un palo. La idea es sujetar el palo, lanzar el cono hacia arriba y lograr embocar el palo en el agujero.",
los Cañoneros,Calentamiento,"Coordinación física, comunicación, estrategia","Un par de personas parten pintando con una pelota. Deben tirar las pelotas al resto de personas no pintadas, si una de esta es tocada por el balón, sin importar como, pasa a ser del equipo que pinta. Las personas que pintan sólo pueden tirar el balón estando quietas.",
El zorro astuto,Atención,"Tiempo de reacción, velocidad, estrategia","Una persona es seleccionada dentro de un grupo. En un espacio idealmente abierto, se pocisiona esta persona en un extremo del resinto y el resto en el extremo opuesto. El zorro (la persona seleccionada) parte dándoles la espalda. Cuando empieza el juego el zorro a su criterio puede darse la vuelta. Si al hacer esto, ve a alguna persona en movimiento, esta vuelve al inicio.",
Qué hora es señor lobo,Atención,"Estrategia, tiempo de reacción","El zorro, una persona al azar, se pocisiona en un extremo de un espacio abierto y el resto debe iniciar en el extremo opuesto. El resto de personas debe preguntarle al zorro: ¿Que hora es señor zorro?, a lo que el zorro responde diciendo una hora. La hora que diga corrsponderá a la cantidad de pasos que podrán dar las personas. Eventualmente, ante la pregunta de qué hora es señor zorro?, el zorro responderá: Es hora de comer. Cuando esto pasa, el zorro debe tocar la mayor cantidad de personas posible antes de que llleguen a su extremo de cancha. Todas las personas a las que alcance a tocar el zorro, pasan formar parte de su equpo en la próxima ronda.",
Embarque,Colaboración,"Comunicación, desarrollo de estrategias,  ","Se divide a un grupo en dos. En una cancha o espacio libre, deben pocisionarse en extremos opuestos. El primer equipo en llegar al extremo opuesto gana. Pero, para poder moverse sólo pueden pisar el interior de unos ulas ulas. Si alguien toca un espacio fuera de algún ula ula, todo el equipo deberá volver al inicio.",
El teatro,Creatividad,Comunicación,"Todas las personas de un grupo ponen un objeto dentro de un mismo espacio determinado. Una persona, seleccionada al azar será separada del grupo. El grupo deberá escoger un objeto y una acción con dicho objeto. Luego la persona selecionada deberá adivinar el objeto y la acción escogida por el grupo. Si la persona selecciona el objeto equivocado o hace la acción incorrecta, el grupo grita: Buu!, si la persona adivina el objeto ó alguna acción con dicho objeto, el grupo grita: Sii!",
Futbol de esquinas,Competencia,"Trabajo en equipo, agilidad","Cuatro equipos se ubican en 4 esquinas cada uno y, con un balón y siguiendo las reglas del fútbol, deben hacer un gol en una de las demás esquinas y proteger la suya.",
Bosque encantado,"Calentamiento, velocidad",Estrategia,"Un jugador es el brujo y el resto de jugadores debe correr de un extremo del capo de juego al otro sin ser pillados por el brujo. Si esto llega a ocurrir, se convierten en árboles y se quedan en el lugar para ayudar a pillar al resto. Entre rondas, el brujo tiene permitido cambiar los árboles de lugar o cambiar de roles con uno de ellos.",
Ali baba y los 40 ladrones,Coordinación,"Mímica, comunicación, atención, creatividad","En un círculo, un primer jugador debe cantar ""Alí Babá y los 40 ladrones"" mientras hace un movimiento. El jugador a su derecha tiene que volver a cantar el verso y repetir el movimiento que hizo el primer jugador, mientras que este último tiene que inventar uno nuevo hasta crear una secuencia que debe pasar por todos los jugadores. El equipo gana si logra completar la secuencia sin equivocarse.",
Vuelta al universo,"Reacción, Velocidad",Atención,"Cuatro equipos se ubican en hilera mirando hacia un mismo cono ubicado en el centro. A cada jugador del equipo se le asigna un número, si gritan dicho número, el jugador debe correr hacia la derecha en un círculo hasta su posición inicial, después debe correr en zigzag por entre sus demás compañeros de equipo hasta tocar el cono ubicado en el centro. El primer jugador en tocar el cono recibe un punto para su equipo.",
Aguilas y aguiluchos,"Reacción, Velocidad","Atención, trivia","Se deben formar dos filas y cada jugador debe ubicarse frente a su pareja. Una fila es de águilas y la otra es de aguiluchos. Si el director del juego grita ""águilas"" la fila de águilas debe perseguir a la de los aguiluchos hasta uno de los extremos de la cancha o, a la inversa, si gritan ""aguiluchos"" estos deben perseguir a las águilas. Las variantes incluyen fauna nativa versus introducida, números pares versus impares y ciudades al sur de Santiago versus al norte de Santiago.",
Tripela,Competencia,"Trabajo en equipo, coordinación motora","Sigue reglas similares al fútbol, solamente que en este juego sólo se puede pasar la pelota sosteniéndola con las manos y después pateándola para hacer el pase o meter los goles. No está permitido dar pasos mientras se tiene la pelota en la mano.",
Gladiadores,"Agilidad, velocidad",Estrategia,"3 equipos reciben pañolines de un color que los distinga. Dos equipos deben formarse en una sola hilera de manera intercalada y otro equipo debe escoger tres representantes para defender tres puntos que deben alcanzar los demás jugadores. Cada jugador debe salir cada 3 segundos. Los dos puntos de cada extremo valen por 1 y el del medio vale por 2. Si a uno de los jugadores que debe alcanzar los puntos se le roba su pañolín, debe volver a formarse. Los 3 jugadores ubicados al centro pueden ir intercambiándose con los del resto de su equipo en caso de necesitarlo. Gana el equipo que haya alcanzado una mayor cantidad de puntos por cruzar las zonas sin haber perdido sus pañolines.",
Cosechando a ciegas,Colaboración,"Comunicación, estrategia","En parejas, se debe competir contra el resto. Uno de los miembros de la pareja debe ubicarse en una fila, mientras que el otro debe recoger unas lentejas con los ojos vendados, guiándose únicamente por sus instintos y por la voz de su pareja. Gana la pareja que haya recolectado la mayor cantidad de lentejas del campo.",
Torombolo el célebre payaso,Calentamiento,Coordinación,"Los jugadores deben cantar ""Toro bolo el célebre payaso que camina por la calle marcando el paso"" mientras marcan el ritmo con el pie yendo hacia adelante, hacia el centro y hacia afuera. Cuando termina la canción, debe hacerse de nuevo con la otra pierna y después en grupo ubicados uno al lado del otro y saltando con ambas piernas.",
Hermano de,Velocidad,Estrategia y comunicación,"Dos personas de caracaterísticas similares se ponen en los extremos de una cancha. Deben gritarse mutuamente: ""Hermano De"", la persona que dirge el juego dirá dos partes del cuerpo que ambas personas deberan ponerse de acuerdo para unir. La idea es formar varias parejas y la última pareja en lograr esto pierde",
Artzikirol,"Precisión, colaboración","Estrategia, comunicación","Dos equipos compiten en un juego con reglas similares al futbol, donde deben llevar el balón con las piernas hasta meter un gol en el arco del rival. La diferencia está en que un jugador puede decidir agarrar la pelota con las manos y moverse con libertad para hacer un pase o meter un gol. Sin embargo, si este jugador es tocado por alguien del equipo contrario o si lo toca con los pies debe ceder el balón al otro equipo.",
Bota cono,Calentamiento precisión ,"Estrategia, comunicación","Se crean dos equipos, con su ""arco"", donde se ponen 3 conos. El objetivo es con una pelota botar los conos del equipo contrario. Cuando se tiene la pelota se quedan en el lugar y solo pueder tirarla.",
Impulso electrico ,Velocidad y percepción,Comunicación,"Se divide a un grupo en dos. Todos debn formar una hilera y tomarse de las manos. Las personas de un mismo extremo de las hileras de ambos grupos deberan darle la mano al director del juego, quien estara entremedio. Cuando el director apriete la mano de las personas de ambos grupos, estas deberán hacer lo mismo con su compañero de al lado. Cuando llega el ""impulso"" a la ultima persona, esta deberá correr lo más rápido posible y tomar un paño puesto detras del director",
